CUST_PER_STATE,STATE
98,Texas
97,California
86,Florida
69,"New York"
35,"District of Columbia"
33,Ohio
33,Colorado
30,Alabama
28,Washington
26,Arizona
25,Illinois
25,Pennsylvania
24,Virginia
23,Missouri
23,Indiana
23,Tennessee
22,Connecticut
20,Louisiana
20,"North Carolina"
19,Georgia
17,Michigan
17,Nevada
17,Minnesota
16,Oklahoma
15,Maryland
14,Massachusetts
13,Kansas
11,Iowa
10,"West Virginia"
10,Alaska
10,Utah
9,"New Jersey"
9,"South Carolina"
8,Kentucky
8,Wisconsin
7,Idaho
7,Oregon
7,Nebraska
6,Arkansas
6,Delaware
6,Hawaii
5,"New Mexico"
3,Montana
3,"New Hampshire"
2,Mississippi
2,"North Dakota"
1,Vermont
1,Maine
1,Wyoming
